,rank,name,age,country,points,date
0,1,✓ Novak Djoković,"<td class=""sm"" p="".3"">36</td>",SRB,"<td class=""hdc""></td>",2023-10-03
1,2,✓ Carlos Alcaraz,"<td class=""sm"" p="".4"">20</td>",ESP,<td></td>,2023-10-03
2,3,✓ Daniil Medvedev,"<td class=""sm"" p="".6"">27</td>",RUS,<td></td>,2023-10-03
3,,,,,"<td align=""center""></td>",2023-10-03
4,4,Jannik Sinner,"<td class=""sm"" p="".1"">22</td>",ITA,<td></td>,2023-10-03
5,5,Andrey Rublev,"<td class=""sm"" p="".9"">25</td>",,<td></td>,2023-10-03
6,6,Stefanos Tsitsipas,"<td class=""sm"" p="".1"">25</td>",GRE,<td></td>,2023-10-03
7,7,Alexander Zverev,"<td class=""sm"" p="".4"">26</td>",GER,<td></td>,2023-10-03
8,8,Holger Rune,"<td class=""sm"" p="".4"">20</td>",DEN,<td></td>,2023-10-03
9,9,Taylor Fritz,"<td class=""sm"" p="".9"">25</td>",USA,<td></td>,2023-10-03
10,,,,,,2023-10-03
11,10,Casper Ruud,"<td class=""sm"" p="".7"">24</td>",NOR,<td></td>,2023-10-03
12,11,Alex de Minaur,"<td class=""sm"" p="".6"">24</td>",AUS,<td></td>,2023-10-03
13,12,Tommy Paul,"<td class=""sm"" p="".3"">26</td>",,<td></td>,2023-10-03
14,13,Frances Tiafoe,"<td class=""sm"" p="".6"">25</td>",,<td></td>,2023-10-03
15,14,Karen Khachanov,"<td class=""sm"" p="".3"">27</td>",,<td></td>,2023-10-03
